text,category,label
Politikus iku mung tukang mbandhog duwit rakyat.,politics,2
Wong-wong nang kono korupsine wes dadi penyakit.,politics,2
"Pemerintah iki gemblung, ora mikirke wong cilik.",politics,2
"Cuma janji palsu, mbok bukak mripate!",politics,2
Kebijakane mung nguntungke wong sugih.,politics,2
"Dasar pejabat lacur, kabeh duite rakyat digawa mati.",politics,2
"Ora usah milih, kabeh padha bejat.",politics,2
Kerjane mung nyolong wektu rakyat.,politics,2
"Pemerintah iki budeg, rakyat nangis dipepet.",politics,2
Wes bosen aku karo dolanan politikmu sing busuk.,politics,2
"Wah, tetangga kok swarane koyo lagi latihan karawitan, nggremeng sak dina-dina.",neighbors,1
"Kula mboten purun nyuwun barangipun, mboten kepanggih kados dereng kesah.",neighbors,1
"Lho, kok urusanku dadi dibahas neng warung kopi kabeh, pancen pengamatanipun sak ndesa.",neighbors,1
"Wes sore-sore, speaker isih dipasang koyo ana hajatan, nganti krama sanes saged istirahat.",neighbors,1
"Barangku sing dipinjam koyo ilang ditelan bumi, mbok menawi sampun dados koleksi pribadi.",neighbors,1
"Kok aku le ngomong opo-opo, rasane wis dingerteni kabeh ya, pancen sambat-sinambat.",neighbors,1
"Bising motoré wau mboten wonten énggal-énggalanipun, mboten saget damel kantuk kula.",neighbors,1
"Pinjem panci ora bali-balí, yagiyo wes dadi bagian kulinére dewe.",neighbors,1
"Kok aku arep pindah omah rasane wis dikandhani luwih dhisik, pancen pinter ndeleng masa depan.",neighbors,1
"Wah, sepuré barangé mboten wonten gantinipun, kula mboten purun nyuwun malih.",neighbors,1
Ibu tuku sayur lan iwak ing pasar.,neutral,0
Aku ketemu karo konco ngomong nang pinggir dalan.,neutral,0
Bapak arep nyapu plataran ngarep omah.,neutral,0
Adhek maca buku ing kamar.,neutral,0
Wong-wong padha lalu lalang ing dalan menyang pasar.,neutral,0
Dheweke numpak sepedha menyang warung.,neutral,0
Kancaku nggawa tas isi bahan masak.,neutral,0
Anak-anak padha dolanan ing lapangan.,neutral,0
Mbak masak sega lan lawuh ing pawon.,neutral,0
Bapak lan ibu padha lunga menyang toko.,neutral,0
"Wong kafir iki kabeh kudu disingkirake saka tanah Jawa, merga mung ngrusak tradisi leluhur.",severe,3
Aku bakal ngobong gréja-gréja ing kéné manawa wong-wong Kristen isih maksa nglebokke ajarané marang wong Islam.,severe,3
"Kabeh pendatang saka pulo liya iku maling lan perampok, padha bali menyang asale, aja ngrusak bumi Jawa.",severe,3
"Wong-wong parté iku kaya ta kéwan rakus, nyolong duwit rakyat, patut dipateni kabeh.",severe,3
"Aku sumpah bakal matèni sapa waé sing ngaku keturunan PKI, ben ora ana manèh ing tanah iki.",severe,3
