text,label_numeric,final_label
wingi goreng mangan sego turu saiki sesuk apik,0,Bukan Ujaran Kebencian
asu sesuk wingi goreng sego goblok saiki saiki dheweke dheweke goblok asu,3,Ujaran Kebencian - Berat
sego turu sego wingi pasar dheweke,3,Ujaran Kebencian - Berat
wingi aku sesuk asu apik sesuk wingi,0,Bukan Ujaran Kebencian
lunga lunga apik kowe wingi pasar babi jiancok apik lunga saiki,3,Ujaran Kebencian - Berat
goblok dheweke goreng wingi elek saiki,1,Ujaran Kebencian - Ringan
jiancok dheweke babi lunga turu goblok asu dheweke wingi babi enak goreng,0,Bukan Ujaran Kebencian
aku elek goreng sesuk wingi sego lunga goreng sesuk,1,Ujaran Kebencian - Ringan
goreng sego dheweke enak sesuk goblok dheweke goblok elek enak enak sego dheweke pasar goblok wingi asu,1,Ujaran Kebencian - Ringan
apik lunga enak aku elek dheweke lunga,2,Ujaran Kebencian - Sedang
aku dheweke enak mangan saiki,3,Ujaran Kebencian - Berat
dheweke goblok goblok sesuk sesuk sego dheweke pasar babi dheweke elek sego,3,Ujaran Kebencian - Berat
aku saiki turu goblok sesuk kowe elek goreng jiancok goreng sesuk lunga sesuk babi enak enak apik sego saiki,1,Ujaran Kebencian - Ringan
enak pasar asu kowe dheweke wingi enak apik,0,Bukan Ujaran Kebencian
wingi sesuk wingi sesuk pasar mangan aku goreng aku,0,Bukan Ujaran Kebencian
dheweke lunga asu apik jiancok sesuk elek goreng mangan enak aku pasar,3,Ujaran Kebencian - Berat
elek saiki elek wingi pasar dheweke asu wingi goreng jiancok jiancok saiki dheweke goblok,3,Ujaran Kebencian - Berat
babi goblok pasar enak elek goblok sego pasar wingi elek saiki aku mangan turu apik goblok,0,Bukan Ujaran Kebencian
dheweke sesuk jiancok elek wingi,1,Ujaran Kebencian - Ringan
wingi sesuk goreng dheweke turu kowe sego turu,3,Ujaran Kebencian - Berat
sesuk babi enak goblok dheweke jiancok kowe babi enak,3,Ujaran Kebencian - Berat
wingi pasar jiancok wingi saiki asu sesuk mangan,3,Ujaran Kebencian - Berat
babi elek aku sego goreng elek aku sesuk lunga goreng aku babi sesuk sego sego sego jiancok,0,Bukan Ujaran Kebencian
mangan sesuk sesuk elek sego sesuk aku,2,Ujaran Kebencian - Sedang
lunga babi babi elek wingi goblok aku asu kowe apik mangan asu aku jiancok sesuk wingi sego,1,Ujaran Kebencian - Ringan
mangan saiki lunga saiki sego turu aku sego mangan goreng dheweke lunga asu saiki asu,2,Ujaran Kebencian - Sedang
wingi pasar babi kowe wingi sesuk asu goblok,3,Ujaran Kebencian - Berat
saiki lunga wingi kowe babi sego,0,Bukan Ujaran Kebencian
kowe wingi saiki asu sego turu goreng goreng pasar asu elek lunga kowe babi,1,Ujaran Kebencian - Ringan
babi turu babi goreng pasar apik sesuk goreng asu sego,3,Ujaran Kebencian - Berat
