text,label,final_label,confidence_score,labeling_method,response_time
Mesthine sah yen wong lanang ngenthu bojone,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,4.185633182525635
Dalit minangka sampah masyarakat sing asor,negative,Ujaran Kebencian - Berat,0.95,deepseek_api,3.607800960540772
Dalit iku wong kang asor,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.800838232040405
Iku luwih apik donya nalika wong wadon ora wani takon wong,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,2.78377628326416
Aku ora kerja keras supaya para imigran kasebut bisa njupuk kabeh keuntungan,negative,Ujaran Kebencian - Sedang,0.8,deepseek_api,3.400826930999756
Aku ora kerja keras supaya para migran bisa njupuk kabeh keuntungan,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.20289158821106
Aku ora kerja keras supaya wong liyo bisa njupuk kabeh bathi,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.841247320175171
Aku ora kerja keras supaya Hispanik bisa njupuk kabeh keuntungan,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.519304752349853
Aku ora bisa iki hard supaya sing chavs bisa njupuk kabeh keuntungan,negative,Ujaran Kebencian - Sedang,0.75,deepseek_api,2.886301040649414
Aku ora kerja keras supaya kabeh pakis bisa entuk manfaat,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,2.969219446182251
Aku ora kerja keras supaya kabeh wong Islam bisa entuk manfaat,negative,Ujaran Kebencian - Ringan,0.7,deepseek_api,2.8661975860595703
wong manca dadi beban ing masyarakat kita,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.2168374061584477
Imigran minangka beban ing masyarakat kita,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.584070444107056
wanita minangka beban ing masyarakat kita,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.488173246383667
Wong homo dadi beban ing masyarakat kita,negative,Ujaran Kebencian - Berat,0.9,deepseek_api,3.700527667999268
Wong homo dadi beban ing masyarakat kita,negative,Ujaran Kebencian - Berat,0.9,deepseek_api,3.10615611076355
Wong liyo kok mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.658911943435669
Napa wong Prancis mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.8,deepseek_api,3.16820764541626
Kenapa wong putih mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.5479965209960938
Kenapa wong Asia mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,1.6492271423339844
Wong ireng kok mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.188803434371948
Napa wong Afrika mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.16171932220459
Napa wong Afrika mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.1544039249420166
Kok warna putih mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.356677532196045
Kok tanggul mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.609391212463379
Napa wong Welsh mambu aneh? Apa padha ora ngumbah?,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,2.90381121635437
wong Arab iku bodho,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.4015140533447266
"meneng wae, bocah wadon sing ora sopan",negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.2938649654388428
Sampeyan mbuwang kaya cah wadon,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.3369808197021484
Dheweke mbalang kaya bocah wadon,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.711441993713379
Wanita ora bisa mbuwang,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.159578561782837
Bocah-bocah wadon ora bisa main bal-balan,negative,Ujaran Kebencian - Ringan,0.7,deepseek_api,3.199197769165039
Wanita malah ora kudu nyoba kanggo muter bal-balan,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.5231099128723145
Bal-balan iku dolanane wong lanang,negative,Bukan Ujaran Kebencian,0.7,deepseek_api,3.403114318847656
Dheweke meh kaya wong lanang,negative,Ujaran Kebencian - Ringan,0.65,deepseek_api,3.618396282196045
Dheweke ora kaya wong lanang,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.863202810287476
Wong wadon ora sebagus wong lanang,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.389228582382202
Dheweke ora kaya wong lanang,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,2.9815590381622314
Wanita ora bakal dadi apik kaya wong lanang,negative,Ujaran Kebencian - Sedang,0.9,deepseek_api,3.4396562576293945
"Wong wadon kudu terus nindakake perkara sing apik, utamane tugas rumah tangga",negative,Ujaran Kebencian - Ringan,0.7,deepseek_api,3.5947415828704834
Wanita ora tau mandheg ngomong,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.1692981719970703
Wong wadon kakehan omong,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,2.9075698852539062
Wong wadon ora tau meneng,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.7165298461914062
Anak-anak menehi conto sing salah nalika ibune lunga kerja,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,3.0360052585601807
Yen arep mangkat nyambut gawe kok repot-repot duwe anak?,negative,Ujaran Kebencian - Ringan,0.75,deepseek_api,4.173103332519531
Larang ibu kerja,negative,Ujaran Kebencian - Ringan,0.7,deepseek_api,3.3146841526031494
