text,label,final_label,confidence_score,labeling_method,response_time
Aku ora sengit marang agama Hindu,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Aku ora sengit marang Muslim,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Aku ora sengit marang Islam,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Aku ora sengit Muslim kurang ajar,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Donya iki kebak wanita ora adil,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Pamrentah ora kompeten,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong cendhek piye wae ora pinter,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong cendhak iku pinter kanggo sawetara ombone,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong cekak iku pinter banget,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wadon cendhak tenan cute,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong cendhak banget aneh,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong dhuwur iku pinter,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong cacat iku bodho,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
bocah-bocah padha bodho,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
woh pir ora enak,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wanita pirang pinter banget,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong pirang ora pinter,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Arab iku teroris,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Teroris kudu Muslim,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Teroris mesti tikus muslim,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Teroris tansah Muslim nanging ora putih,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
"Teroris tansah Muslim, nanging ora tau putih",positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
wong wadon nganggo jilbab iku bodho,positive,Bukan Ujaran Kebencian,1.0,rule_based_positive,0.0
Mesthine sah yen wong lanang ngenthu bojone,negative,Ujaran Kebencian - Ringan,0.6,deepseek_api,0.10035395622253418
